"COMPANY NAME","SECURITY TYPE","ISSUE PRICE","Symbol","ISSUE START DATE","ISSUE END DATE","PRICE RANGE","DATE OF LISTING"
"Galaxy Surfactants Limited","EQ","  1480","GALAXYSURF","29-JAN-2018","31-JAN-2018","Rs 1470 to Rs 1480","08-FEB-2018"
"A and M Jumbo Bags  Limited","SME",,"AMJUMBO","29-JAN-2018","02-FEB-2018","65","12-FEB-2018"
"Vasa Retail and Overseas  Limited","SME",,"VASA","24-JAN-2018","29-JAN-2018","30","06-FEB-2018"
"Shree Ram Proteins Limited","SME",,"SRPL","23-JAN-2018","25-JAN-2018","35.3","23-SEP-2020"
"Solex Energy Limited","SME",,"SOLEX","22-JAN-2018","25-JAN-2018","52","05-FEB-2018"
"Amber Enterprises India Limited","EQ","   859","AMBER","17-JAN-2018","19-JAN-2018","Rs 855 to Rs 859","30-JAN-2018"
"Newgen Software Technologies Limited","EQ","   245","NEWGEN","16-JAN-2018","18-JAN-2018","Rs 240 to Rs 245","29-JAN-2018"
"Apollo Micro Systems Limited","BE","   275","APOLLO","10-JAN-2018","12-JAN-2018","Rs 270 to Rs 275","22-JAN-2018"
"S K S Textiles Limited","SME",,"SKSTEXTILE","09-JAN-2018","11-JAN-2018","150","19-JAN-2018"
"Silly Monks Entertainment Limited","SME",,"SILLYMONKS","05-JAN-2018","10-JAN-2018","25","08-JUL-2020"
"Brand Concepts Limited","SME",,"BCONCEPTS","29-DEC-2017","02-JAN-2018","46","11-JAN-2022"
"Moksh Ornaments Limited","SME",,"MOKSH","21-DEC-2017","26-DEC-2017","64","21-MAY-2021"
"Ajooni Biotech Limited","SME",,"AJOONI","20-DEC-2017","22-DEC-2017","40","07-MAY-2021"
"Astron Paper & Board Mills Limited","EQ","-","ASTRON","15-DEC-2017","20-DEC-2017","Rs 45 to Rs 50","-"
"SMVD Poly Pack Limited","SME",,"SMVD","13-DEC-2017","15-DEC-2017","55","26-DEC-2017"
"One Point One Solutions Limited","SME",,"ONEPOINT","13-DEC-2017","15-DEC-2017","39.8","09-MAY-2019"
"Touchwood Entertainment Limited","SME",,"TOUCHWOOD","11-DEC-2017","13-DEC-2017","89","21-JAN-2020"
"Future Supply Chain Solutions Limited","EQ","   664","FSC","06-DEC-2017","08-DEC-2017","Rs 660 to Rs 664","18-DEC-2017"
"Shalby Limited","EQ","   248","SHALBY","05-DEC-2017","07-DEC-2017","Rs 245 to Rs 248","15-DEC-2017"
"Innovana Thinklabs Limited","SME",,"INNOVANA","29-NOV-2017","04-DEC-2017","467","17-DEC-2024"
"Ice Make Refrigeration Limited","SME",,"ICEMAKE","27-NOV-2017","30-NOV-2017","55","12-OCT-2020"
"Shradha Infraprojects (Nagpur) Limited","SME",,"SHRADHA","27-NOV-2017","30-NOV-2017","34.3","22-OCT-2020"
"Felix Industries Limited","SME",,"FELIX","23-NOV-2017","27-NOV-2017","35","05-DEC-2017"
"Zodiac Energy Limited","SME",,"ZODIAC","23-NOV-2017","27-NOV-2017","30","14-DEC-2021"
"Silver Touch Technologies limited","SME",,"SILVERTUC","20-NOV-2017","23-NOV-2017","213","12-MAY-2022"
"Vertoz Advertising Limited","SME",,"VERTOZ","14-NOV-2017","16-NOV-2017","72","14-MAY-2020"
"Pulz Electronics Limited","SME",,"PULZ","14-NOV-2017","16-NOV-2017","54","24-NOV-2017"
"ANI Integrated Services Limited","SME",,"AISL","08-NOV-2017","10-NOV-2017","100","20-NOV-2017"
"HDFC Standard Life Insurance Company Limited","EQ","   290","HDFCLIFE","07-NOV-2017","09-NOV-2017","Rs 275 to Rs 290","17-NOV-2017"
"Khadim India Limited","EQ","   750","KHADIM","02-NOV-2017","06-NOV-2017","Rs 745 to Rs 750","14-NOV-2017"
"The New India Assurance Company Limited","EQ","   800","NIACL","01-NOV-2017","03-NOV-2017","Rs 770 to Rs 800","13-NOV-2017"
"Secur Credentials Limited","SME",,"SECURCRED","01-NOV-2017","03-NOV-2017","71.35","17-OCT-2022"
"Mahindra Logistics Limited","EQ","   429","MAHLOG","31-OCT-2017","02-NOV-2017","Rs 425 to Rs 429","10-NOV-2017"
"Reliance Nippon Life Asset Management Limited","EQ","   252","RNAM","25-OCT-2017","27-OCT-2017","Rs 247 to Rs 252","06-NOV-2017"
"General Insurance Corporation Of India","EQ","   912","GICRE","11-OCT-2017","13-OCT-2017","Rs 855 to Rs 912","25-OCT-2017"
"Indian Energy Exchange Limited","EQ","  1650","IEX","09-OCT-2017","11-OCT-2017","Rs 1645 to Rs 1650","23-OCT-2017"
"D.P. Abhushan Limited","SME",,"DPABHUSHAN","09-OCT-2017","11-OCT-2017","28","23-OCT-2017"
"MAS Financial Services Limited","EQ","   459","MASFIN","06-OCT-2017","10-OCT-2017","Rs 456 to Rs 459","18-OCT-2017"
"Godrej Agrovet Limited","EQ","   460","GODREJAGRO","04-OCT-2017","06-OCT-2017","Rs 450 to Rs 460","16-OCT-2017"
"Tirupati  Forge Limited","SME",,"FORGE","29-SEP-2017","04-OCT-2017","29","12-OCT-2017"
"Beta  Drugs Limited","SME",,"BETA","29-SEP-2017","04-OCT-2017","85","12-OCT-2017"
"CMM Infraprojects Limited","SME",,"CMMIPL","29-SEP-2017","04-OCT-2017","40","12-OCT-2017"
"Milton Industries Limited","SME",,"MILTON","29-SEP-2017","06-OCT-2017","34","16-OCT-2017"
"Omfurn India Limited","SME",,"OMFURN","29-SEP-2017","05-OCT-2017","23","13-OCT-2017"
"Jash Engineering Limited","SME",,"JASH","28-SEP-2017","03-OCT-2017","95","30-OCT-2019"
"Goldstar Power Limited","SME",,"GOLDSTAR","27-SEP-2017","29-SEP-2017","25","10-OCT-2017"
"Reliable Data Services Limited","SME",,"RELIABLE","27-SEP-2017","03-OCT-2017","48","10-JUL-2024"
"RKEC Projects Limited","SME",,"RKEC","25-SEP-2017","28-SEP-2017","36","18-DEC-2020"
"Airo Lam Limited","SME",,"AIROLAM","25-SEP-2017","27-SEP-2017","74","13-OCT-2021"
"Prataap Snacks Limited","EQ","   938","DIAMONDYD","22-SEP-2017","26-SEP-2017","Rs 930 to Rs 938","05-OCT-2017"
"Innovative Tyres and Tubes Limited","SME",,"INNOVATIVE","22-SEP-2017","26-SEP-2017","45","05-OCT-2017"
"Aarvi Encon Limited","SME",,"AARVI","21-SEP-2017","26-SEP-2017","22","24-JUN-2020"
"Cadsys (India) Limited","SME",,"CADSYS","21-SEP-2017","25-SEP-2017","70","04-OCT-2017"
"Shree Tirupati Balajee FIBC Limited","SME",,"TIRUPATI","21-SEP-2017","26-SEP-2017","40","05-OCT-2017"
"D P Wires Limited","SME",,"DPWIRES","21-SEP-2017","26-SEP-2017","76","17-JAN-2020"
"SBI Life Insurance Company Limited","EQ","   700","SBILIFE","20-SEP-2017","22-SEP-2017","Rs 685 to Rs 700","03-OCT-2017"
"R M Drip and Sprinklers Systems Limited","SME",,"RMDRIP","19-SEP-2017","25-SEP-2017","57","04-OCT-2017"
"Madhya Pradesh Today Media Limited","SME",,"MPTODAY","19-SEP-2017","21-SEP-2017","66","29-SEP-2017"
"ICICI Lombard General Insurance Company Limited","EQ","   661","ICICIGI","15-SEP-2017","19-SEP-2017","Rs. 651 to Rs.661","27-SEP-2017"
"Worth Peripherals Limited","SME",,"WORTH","15-SEP-2017","19-SEP-2017","44","04-AUG-2020"
"Sri Krishna Metcom Limited","SME",,"SKML","14-SEP-2017","18-SEP-2017","55","26-SEP-2017"
"Capacit'e Infraprojects Limited","EQ","   250","CAPACITE","13-SEP-2017","15-SEP-2017","Rs. 245 to Rs. 250","25-SEP-2017"
"Matrimony.com Limited","EQ","   985","MATRIMONY","11-SEP-2017","13-SEP-2017","Rs 983 to Rs 985","21-SEP-2017"
"Bharat Road Network Limited","EQ","   205","BRNL","06-SEP-2017","08-SEP-2017","Rs 195 to Rs 205","18-SEP-2017"
"Dixon Technologies (India) Limited","EQ","  1766","DIXON","06-SEP-2017","08-SEP-2017","Rs 1760 to Rs 1766","18-SEP-2017"
"Manav infra projects Limited","SME",,"MANAV","04-SEP-2017","08-SEP-2017","30","18-SEP-2017"
"Penta Gold Limited","SME",,"PENTAGOLD","04-SEP-2017","06-SEP-2017","35","-"
"Pashupati Cotspin Limited","SME",,"PASHUPATI","28-AUG-2017","31-AUG-2017","75","08-SEP-2017"
"Apex Frozen Foods Limited","EQ","   175","APEX","22-AUG-2017","24-AUG-2017","Rs 171 to Rs 175","04-SEP-2017"
"Seven Hills Beverages Limited","SME",,"SHBL","18-AUG-2017","21-AUG-2017","26","-"
"Lexus Granito (India) Limited","SME",,"LEXUS","09-AUG-2017","11-AUG-2017","62.5","13-MAR-2023"
"Geekay Wires Limited","SME",,"GEEKAYWIRE","09-AUG-2017","14-AUG-2017","39","06-MAR-2020"
"Servotech Power Systems Limited","SME",,"SERVOTECH","09-AUG-2017","14-AUG-2017","26","02-SEP-2021"
"Vaishali Pharma Limited","SME",,"VAISHALI","07-AUG-2017","10-AUG-2017","40","15-JAN-2020"
"Cochin Shipyard Limited","EQ","   432","COCHINSHIP","01-AUG-2017","03-AUG-2017","Rs 424 to Rs 432","11-AUG-2017"
"Security and Intelligence Services (India) Limited","EQ","   815","SIS","31-JUL-2017","02-AUG-2017","Rs 805 to Rs 815","10-AUG-2017"
"Surevin BPO Services Limited","SME",,"SUREVIN","28-JUL-2017","01-AUG-2017","40","09-AUG-2017"
"Total Transport Systems Limited","SME",,"TOTAL","25-JUL-2017","28-JUL-2017","22.55","28-AUG-2020"
"Keerti Knowledge And Skills Limited","SME",,"KEERTI","24-JUL-2017","28-JUL-2017","32.5","13-NOV-2020"
"Shanti Overseas (India) Limited","SME",,"SHANTI","21-JUL-2017","26-JUL-2017","22","16-SEP-2021"
"Srei Equipment Finance Limited","NX","  1000","SREIBNPNCD","17-JUL-2017","31-JUL-2017","1000","27-FEB-2020"
"Univastu India Limited","SME",,"UNIVASTU","14-JUL-2017","19-JUL-2017","25","22-JUN-2020"
"Salasar Techno Engineering Limited","BE","   108","SALASAR","12-JUL-2017","17-JUL-2017","Rs 108","25-JUL-2017"
"Shrenik Limited","SME",,"SHRENIK","06-JUL-2017","10-JUL-2017","58.5","02-AUG-2019"
"Bansal Multiflex Limited","SME",,"BANSAL","30-JUN-2017","04-JUL-2017","31","12-JUL-2017"
"Transwind Infrastructures Limited","SME",,"TRANSWIND","30-JUN-2017","04-JUL-2017","27","12-JUL-2017"
"Ace Integrated Solutions Limited","SME",,"ACEINTEG","29-JUN-2017","05-JUL-2017","46","04-NOV-2022"
"AU Small Finance Bank Limited","EQ","   358","AUBANK","28-JUN-2017","30-JUN-2017","Rs 355 to Rs 358","10-JUL-2017"
"Pushpanjali Realms and Infratech Limited","SME",,"PUSHPREALM","27-JUN-2017","30-JUN-2017","55","10-JUL-2017"
"Accord Synergy Limited","SME",,"ACCORD","22-JUN-2017","28-JUN-2017","60","06-JUL-2017"
"GTPL Hathway Limited","EQ","   170","GTPL","21-JUN-2017","23-JUN-2017","Rs 167 to Rs 170","04-JUL-2017"
"Central Depository Services (India) Limited","EQ","   149","CDSL","19-JUN-2017","21-JUN-2017","Rs 145 to Rs 149","30-JUN-2017"
"Eris Lifesciences Limited","EQ","   603","ERIS","16-JUN-2017","20-JUN-2017","Rs 600 to Rs 603","29-JUN-2017"
"Tejas Networks Limited","EQ","   257","TEJASNET","14-JUN-2017","16-JUN-2017","Rs 250 to Rs 257","27-JUN-2017"
"Globe Textiles (India) Limited","SME",,"GLOBE","12-JUN-2017","15-JUN-2017","46","07-OCT-2020"
"Shri Ram Switchgears Limited","SME",,"SRIRAM","25-MAY-2017","30-MAY-2017","19","07-JUN-2017"
"Vadivarhe Speciality Chemicals Limited","SME",,"VSCL","22-MAY-2017","25-MAY-2017","42","02-JUN-2017"
"Jalan Transolutions (India) Limited","SME",,"JALAN","18-MAY-2017","23-MAY-2017","46","31-MAY-2017"
"India Grid Trust","NF","  1000","INDIGRID","17-MAY-2017","19-MAY-2017","Rs 98 to Rs 100","10-MAY-2021"
"PSP Projects Limited","BE","   210","PSPPROJECT","17-MAY-2017","19-MAY-2017","Rs 205 to Rs 210","29-MAY-2017"
"Housing and Urban Development Corporation Limited","EQ","-","HUDCO","08-MAY-2017","11-MAY-2017","Rs 56 to Rs 60","-"
"IRB InvIT Fund","IV","   102","IRBINVIT","03-MAY-2017","05-MAY-2017","Rs 100 to Rs 102","18-MAY-2017"
"Zota Health Care Limited","SME",,"ZOTA","27-APR-2017","02-MAY-2017","198.25","19-AUG-2019"
"S Chand and Company Limited","EQ","   670","SCHAND","26-APR-2017","28-APR-2017","Rs 660 to Rs 670","09-MAY-2017"
"CKP Products Limited","SME",,"CKPPRODUCT","26-APR-2017","28-APR-2017","50","09-MAY-2017"
"InfoBeans Technologies Limited","SME",,"INFOBEAN","18-APR-2017","21-APR-2017","60","15-JUL-2019"
"Panache Digilife Limited","SME",,"PANACHE","11-APR-2017","17-APR-2017","52","06-JAN-2020"
"Sikko Industries Limited","SME",,"SIKKO","05-APR-2017","07-APR-2017","36","22-OCT-2021"
"M K Proteins Limited","SME",,"MKPL","31-MAR-2017","07-APR-2017","712","13-JUN-2023"
"Dev Information Technology Limited","SME",,"DEVIT","31-MAR-2017","06-APR-2017","129","15-FEB-2022"
"ASL Industries Limited","SME",,"ASLIND","31-MAR-2017","07-APR-2017","35","18-APR-2017"
"Focus Lighting And Fixtures Limited","SME",,"FOCUS","30-MAR-2017","05-APR-2017","78","24-NOV-2021"
"Creative Peripherals and Distribution Limited","SME",,"CREATIVE","29-MAR-2017","03-APR-2017","66.75","05-AUG-2019"
"Bohra Industries Limited","SME",,"BOHRAIND","23-MAR-2017","27-MAR-2017","6","27-OCT-2022"
"Shankara Building Products Limited","EQ","   460","SHANKARA","22-MAR-2017","24-MAR-2017","Rs 440 to Rs 460","05-APR-2017"
"Euro India Fresh Foods Limited","SME",,"EIFFL","21-MAR-2017","24-MAR-2017","130","12-OCT-2021"
"CL Educate Limited","BE","   502","CLEDUCATE","20-MAR-2017","22-MAR-2017","Rs 500 to Rs 502","31-MAR-2017"
"Laxmi Cotspin Limited","SME",,"LAXMICOT","17-MAR-2017","22-MAR-2017","23","12-NOV-2021"
"Airan Limited","SME",,"AIRAN","14-MAR-2017","16-MAR-2017","38","03-MAY-2019"
"Avenue Supermarts Limited","EQ","   299","DMART","08-MAR-2017","10-MAR-2017","Rs 295 to Rs 299","21-MAR-2017"
"Music Broadcast Limited","P1","   100","RADIOCITY","06-MAR-2017","08-MAR-2017","Rs 324 to Rs 333","20-APR-2023"
"Sanginita Chemicals Limited","SME",,"SANGINITA","01-MAR-2017","03-MAR-2017","81.3","15-JUL-2019"
"Akash Infra Projects Limited","SME",,"AKASH","28-FEB-2017","06-MAR-2017","58","11-OCT-2019"
"Nitiraj Engineers Limited","SME",,"NITIRAJ","20-FEB-2017","01-MAR-2017","45.45","22-APR-2021"
"Global Education limited","SME",,"GLOBAL","16-FEB-2017","21-FEB-2017","196","07-DEC-2020"
"Krishana Phoschem Limited","SME",,"KRISHANA","13-FEB-2017","16-FEB-2017","50.5","22-AUG-2019"
"Steel City Securities Limited","SME",,"STEELCITY","06-FEB-2017","09-FEB-2017","56.2","27-JUN-2019"
"Srei Infrastructure Finance Limited","YC","  1000","SREINFRA","30-JAN-2017","16-FEB-2017","Rs 1000","21-MAR-2018"
"BSE Limited","EQ","   806","BSE","23-JAN-2017","25-JAN-2017","Rs 805 to Rs 806","03-FEB-2017"
"Madhav Copper Limited","SME",,"MCL","23-JAN-2017","27-JAN-2017","70","19-AUG-2020"
"Srei Equipment Finance Limited","NX","  1000","SREIBNPNCD","03-JAN-2017","06-JAN-2017","Rs 1000","27-FEB-2020"
"Maheshwari Logistics Limited","SME",,"MAHESHWARI","30-DEC-2016","06-JAN-2017","68","16-JAN-2017"
"Prolife Industries Limited","SME",,"PROLIFE","27-DEC-2016","30-DEC-2016","38","09-JAN-2017"
"Libas Designs Limited","SME",,"LIBAS","27-DEC-2016","30-DEC-2016","48.95","23-JUL-2019"
"Reliance Home Finance Limited","BE","    10","RHFL","22-DEC-2016","23-DEC-2016","Rs 1000","22-SEP-2017"
"Laurus Labs Limited","EQ","   428","LAURUSLABS","06-DEC-2016","08-DEC-2016","Rs 426 to Rs 428","19-DEC-2016"
"Sheela Foam Limited","EQ","   730","SFL","29-NOV-2016","01-DEC-2016","Rs. 680 to Rs. 730","09-DEC-2016"
"Jet Freight Logistics Limited","SME",,"JETFREIGHT","24-NOV-2016","28-NOV-2016","48","21-DEC-2021"
"GreenSignal Bio Pharma Limited","EQ","-","GSBPL","09-NOV-2016","22-NOV-2016","Rs 68 to Rs 76","-"
"Agro Phos India limited","SME",,"AGROPHOS","27-OCT-2016","07-NOV-2016","57","08-MAR-2019"
"Varun Beverages Limited","EQ","   445","VBL","26-OCT-2016","28-OCT-2016","Rs 440 to Rs 445","08-NOV-2016"
"PNB Housing Finance Limited","EQ","   775","PNBHOUSING","25-OCT-2016","27-OCT-2016","Rs 750 to Rs 775","07-NOV-2016"
"Endurance Technologies Limited","EQ","   472","ENDURANCE","05-OCT-2016","07-OCT-2016","Rs 467 to Rs 472","19-OCT-2016"
"Pansari Developers Limited","SME",,"PANSARI","30-SEP-2016","06-OCT-2016","55","18-OCT-2021"
"Dhanuka Realty Limited","SME",,"DRL","30-SEP-2016","06-OCT-2016","40","18-OCT-2016"
"Globe International Carriers Limited","SME",,"GICL","30-SEP-2016","07-OCT-2016","24","19-OCT-2016"
"Art Nirman Limited","SME",,"ARTNIRMAN","30-SEP-2016","07-OCT-2016","30","18-OCT-2021"
"Sakar Healthcare Limited","SME",,"SAKAR","30-SEP-2016","05-OCT-2016","56","11-APR-2019"
"Gretex Industries Limited","SME",,"GRETEX","30-SEP-2016","05-OCT-2016","20","14-OCT-2016"
"Aurangabad Distillery Limited","SME",,"AURDIS","30-SEP-2016","06-OCT-2016","35","17-OCT-2016"
"Nandani Creation Limited","SME",,"JAIPURKURT","28-SEP-2016","03-OCT-2016","59","02-SEP-2021"
"Jet Knitwears Limited","SME",,"JETKNIT","27-SEP-2016","29-SEP-2016","39","07-OCT-2016"
"HPL Electric and Power Limited","EQ","-","HPL","22-SEP-2016","26-SEP-2016","Rs 175 to Rs 202","-"
"ICICI Prudential Life Insurance Company Limited","EQ","   334","ICICIPRULI","19-SEP-2016","21-SEP-2016","Rs 300 to Rs 334","29-SEP-2016"
"Indiabulls Housing Finance Limited","Z9","######","IBULHSG","15-SEP-2016","16-SEP-2016","Rs 1000","09-APR-2024"
"AVSL Industries Limited","SME",,"AVSL","15-SEP-2016","28-SEP-2016","36","06-OCT-2016"
"GNA Axles Limited","EQ","   207","GNA","14-SEP-2016","16-SEP-2016","Rs 205 to Rs 207","26-SEP-2016"
"L&T Technology Services Limited","EQ","   860","LTTS","12-SEP-2016","15-SEP-2016","Rs 850 to Rs 860","23-SEP-2016"
"Crown Lifters Limited","SME",,"CROWN","09-SEP-2016","19-SEP-2016","30","08-FEB-2022"
"Husys Consulting Limited","SME",,"HUSYS","09-SEP-2016","19-SEP-2016","50","21-AUG-2015"
"Srei Infrastructure Finance Limited","YC","  1000","SREINFRA","07-SEP-2016","28-SEP-2016","Rs 1000","21-MAR-2018"
"Dewan Housing Finance Corporation Limited","NZ","  1000","DHFL","29-AUG-2016","30-AUG-2016","Rs 1000","06-JUN-2018"
"Madhya Bharat Agro Products Limited","SME",,"MBAPL","29-AUG-2016","02-SEP-2016","67","22-AUG-2019"
"RBL Bank Limited","EQ","   225","RBLBANK","19-AUG-2016","23-AUG-2016","Rs 224 to Rs 225","31-AUG-2016"
"Dewan Housing Finance Corporation Limited","NZ","  1000","DHFL","03-AUG-2016","04-AUG-2016","Rs 1000","06-JUN-2018"
"S.P. Apparels Limited","EQ","-","SPAL","02-AUG-2016","04-AUG-2016","Rs 258 to Rs 268","-"
"Dilip Buildcon Limited","EQ","   219","DBL","01-AUG-2016","03-AUG-2016","Rs 214 to Rs 219","11-AUG-2016"
"Advanced Enzyme Technologies Limited","EQ","   896","ADVENZYMES","20-JUL-2016","22-JUL-2016","Rs 880 to Rs 896","01-AUG-2016"
"Larsen & Toubro Infotech Limited","EQ","   710","LTI","11-JUL-2016","13-JUL-2016","Rs 705 to Rs 710","21-JUL-2016"
"Edelweiss Housing Finance Limited","DEBT","-","EHFLNCD","08-JUL-2016","11-JUL-2016","Rs 1000","-"
"KKV Agro Powers Limited","SME",,"KKVAPOW","30-JUN-2016","07-JUL-2016","320","15-JUL-2016"
"Quess Corp Limited","EQ","   317","QUESS","29-JUN-2016","01-JUL-2016","Rs 310 to Rs 317","12-JUL-2016"
"Mahanagar Gas Limited","EQ","   421","MGL","21-JUN-2016","23-JUN-2016","Rs 380 to Rs 421","01-JUL-2016"
"United Polyfab Gujarat Limited","SME",,"UNITEDPOLY","25-MAY-2016","30-MAY-2016","17","31-DEC-2021"
"Parag Milk Foods Limited","EQ","   215","PARAGMILK","04-MAY-2016","11-MAY-2016","Rs 215 to Rs 227","19-MAY-2016"
"Sagardeep Alloys Limited","SME",,"SAGARDEEP","04-MAY-2016","09-MAY-2016","95","25-JAN-2019"
"Ujjivan Financial Services Limited","EQ","   210","UJJIVAN","28-APR-2016","02-MAY-2016","Rs 207 to Rs 210","10-MAY-2016"
"Thyrocare Technologies Limited","EQ","   446","THYROCARE","27-APR-2016","29-APR-2016","Rs 420 to Rs 446","09-MAY-2016"
"Equitas Holdings Limited","EQ","   110","EQUITAS","05-APR-2016","07-APR-2016","Rs 109 to Rs 110","21-APR-2016"
"Infibeam Incorporation Limited","EQ","   432","INFIBEAM","21-MAR-2016","23-MAR-2016","Rs 360 to Rs 432","04-APR-2016"
"Bharat Wire Ropes Limited","EQ","    45","BHARATWIRE","18-MAR-2016","22-MAR-2016","Rs 40 to Rs 45","01-APR-2016"
"HealthCare Global Enterprises Limited","EQ","   218","HCG","16-MAR-2016","18-MAR-2016","Rs 205 to Rs 218","30-MAR-2016"
"Indian Railway Finance Corporation Limited","NS","######","IRFC","10-MAR-2016","14-MAR-2016","Rs 1000","20-MAR-2024"
"HEC Infra Projects Limited","SME",,"HECPROJECT","10-MAR-2016","18-MAR-2016","38","30-DEC-2021"
"Wealth First Portfolio Managers Limited","SME",,"WEALTH","10-MAR-2016","18-MAR-2016","92.1","20-JAN-2021"
"National Highways Authority of India","NC","  1000","NHAI","24-FEB-2016","26-FEB-2016","1000","11-MAR-2016"
"Hi-Tech Pipes Limited","SME",,"HITECH","15-FEB-2016","19-FEB-2016","380","07-MAY-2018"
"Quick Heal Technologies Limited","EQ","   321","QUICKHEAL","08-FEB-2016","10-FEB-2016","Rs 311 to Rs 321","18-FEB-2016"
"TeamLease Services Limited","EQ","   850","TEAMLEASE","02-FEB-2016","04-FEB-2016","Rs 785 to Rs 850","12-FEB-2016"
"Precision Camshafts Limited","EQ","   186","PRECAM","27-JAN-2016","29-JAN-2016","Rs 180 to Rs 186","08-FEB-2016"
